"","county_state_pop","...2","2020","2021","2022","2023","2024","avg_2020_2024","county","state"
"1","Autauga County, Alabama",58800,58909,59191,59736,60436,61464,59947.2,"Autauga County","Alabama"
"2","Baldwin County, Alabama",231767,233244,239411,246577,254107,261608,246989.4,"Baldwin County","Alabama"
"3","Barbour County, Alabama",25226,24975,24517,24722,24644,24358,24643.2,"Barbour County","Alabama"
"4","Bibb County, Alabama",22284,22176,22344,21983,21890,22258,22130.2,"Bibb County","Alabama"
"5","Blount County, Alabama",59130,59110,59050,59491,59777,60163,59518.2,"Blount County","Alabama"
"6","Bullock County, Alabama",10355,10230,10126,10126,9908,9901,10058.2,"Bullock County","Alabama"
"7","Butler County, Alabama",19048,19027,18856,18652,18357,18256,18629.6,"Butler County","Alabama"
"8","Calhoun County, Alabama",116437,116242,115633,115744,116403,116427,116089.8,"Calhoun County","Alabama"
"9","Chambers County, Alabama",34692,34572,34396,34093,34087,33813,34192.2,"Chambers County","Alabama"
"10","Cherokee County, Alabama",24984,24981,25060,25334,25700,26138,25442.6,"Cherokee County","Alabama"
"11","Chilton County, Alabama",45012,45060,45255,45856,46525,47262,45991.6,"Chilton County","Alabama"
"12","Choctaw County, Alabama",12664,12622,12544,12420,12263,12052,12380.2,"Choctaw County","Alabama"
"13","Clarke County, Alabama",23091,22989,22735,22545,22305,22142,22543.2,"Clarke County","Alabama"
"14","Clay County, Alabama",14235,14210,14156,14198,14157,14239,14192,"Clay County","Alabama"
"15","Cleburne County, Alabama",15055,15063,15151,15353,15658,15905,15426,"Cleburne County","Alabama"
"16","Coffee County, Alabama",53470,53565,54201,54769,55707,56358,54920,"Coffee County","Alabama"
"17","Colbert County, Alabama",57232,57305,57615,58023,58382,58785,58022,"Colbert County","Alabama"
"18","Conecuh County, Alabama",11594,11551,11317,11220,11177,11109,11274.8,"Conecuh County","Alabama"
"19","Coosa County, Alabama",10379,10340,10321,10283,10267,10291,10300.4,"Coosa County","Alabama"
"20","Covington County, Alabama",37570,37513,37512,37508,37861,37748,37628.4,"Covington County","Alabama"
"21","Crenshaw County, Alabama",13201,13171,13062,13096,13168,13114,13122.2,"Crenshaw County","Alabama"
"22","Cullman County, Alabama",87861,88142,89578,90597,91909,92604,90566,"Cullman County","Alabama"
"23","Dale County, Alabama",49320,49260,49344,49472,49852,50067,49599,"Dale County","Alabama"
"24","Dallas County, Alabama",38470,38185,37496,36772,36294,35545,36858.4,"Dallas County","Alabama"
"25","DeKalb County, Alabama",71627,71673,71880,72046,72626,73122,72269.4,"DeKalb County","Alabama"
"26","Elmore County, Alabama",87980,87871,88734,89566,90416,91042,89525.8,"Elmore County","Alabama"
"27","Escambia County, Alabama",36768,36687,36628,36620,36582,36630,36629.4,"Escambia County","Alabama"
"28","Etowah County, Alabama",103415,103437,102887,102821,103174,103207,103105.2,"Etowah County","Alabama"
"29","Fayette County, Alabama",16322,16329,16119,16041,15913,15863,16053,"Fayette County","Alabama"
"30","Franklin County, Alabama",32111,32076,31991,31947,31941,31874,31965.8,"Franklin County","Alabama"
"31","Geneva County, Alabama",26662,26703,26632,26787,27052,27259,26886.6,"Geneva County","Alabama"
"32","Greene County, Alabama",7732,7701,7583,7412,7299,7127,7424.4,"Greene County","Alabama"
"33","Hale County, Alabama",14788,14771,14715,14613,14931,15116,14829.2,"Hale County","Alabama"
"34","Henry County, Alabama",17141,17171,17412,17638,17872,18141,17646.8,"Henry County","Alabama"
"35","Houston County, Alabama",107213,107300,107412,108063,108556,109366,108139.4,"Houston County","Alabama"
"36","Jackson County, Alabama",52563,52532,52688,52842,53423,53780,53053,"Jackson County","Alabama"
"37","Jefferson County, Alabama",674311,674727,669677,665543,664084,664744,667755,"Jefferson County","Alabama"
"38","Lamar County, Alabama",13971,13954,13725,13628,13616,13543,13693.2,"Lamar County","Alabama"
"39","Lauderdale County, Alabama",93560,94031,94846,95903,96867,97502,95829.8,"Lauderdale County","Alabama"
"40","Lawrence County, Alabama",33058,33075,33052,33182,33505,33567,33276.2,"Lawrence County","Alabama"
"41","Lee County, Alabama",174341,174856,177652,181044,184271,187847,181134,"Lee County","Alabama"
"42","Limestone County, Alabama",103561,104209,107285,110926,114803,118942,111233,"Limestone County","Alabama"
"43","Lowndes County, Alabama",10319,10284,9936,9778,9682,9485,9833,"Lowndes County","Alabama"
"44","Macon County, Alabama",19531,19472,18917,18561,18347,18159,18691.2,"Macon County","Alabama"
