"state_uv","state_abr","fips_uv","county_name","uv_whm2"
"Alabama","AL","01001","Autauga",4562.75
"Alabama","AL","01003","Baldwin",4492.24
"Alabama","AL","01005","Barbour",4642.21
"Alabama","AL","01007","Bibb",4498.72
"Alabama","AL","01009","Blount",4416.44
"Alabama","AL","01011","Bullock",4628.59
"Alabama","AL","01013","Butler",4579.11
"Alabama","AL","01015","Calhoun",4466.23
"Alabama","AL","01017","Chambers",4583.98
"Alabama","AL","01019","Cherokee",4419.13
"Alabama","AL","01021","Chilton",4529.23
"Alabama","AL","01023","Choctaw",4475.5
"Alabama","AL","01025","Clarke",4487.88
"Alabama","AL","01027","Clay",4518.44
"Alabama","AL","01029","Cleburne",4486.05
"Alabama","AL","01031","Coffee",4627.61
"Alabama","AL","01033","Colbert",4408.01
"Alabama","AL","01035","Conecuh",4550.91
"Alabama","AL","01037","Coosa",4545.46
"Alabama","AL","01039","Covington",4597.43
"Alabama","AL","01041","Crenshaw",4606.87
"Alabama","AL","01043","Cullman",4402.11
"Alabama","AL","01045","Dale",4644.01
"Alabama","AL","01047","Dallas",4539.97
"Alabama","AL","01049","DeKalb",4358.01
"Alabama","AL","01051","Elmore",4587.99
"Alabama","AL","01053","Escambia",4534.88
"Alabama","AL","01055","Etowah",4422.19
"Alabama","AL","01057","Fayette",4449.12
"Alabama","AL","01059","Franklin",4415.27
"Alabama","AL","01061","Geneva",4637.93
"Alabama","AL","01063","Greene",4484.31
"Alabama","AL","01065","Hale",4493.46
"Alabama","AL","01067","Henry",4652.12
"Alabama","AL","01069","Houston",4658.25
"Alabama","AL","01071","Jackson",4328
"Alabama","AL","01073","Jefferson",4455.97
"Alabama","AL","01075","Lamar",4459.09
"Alabama","AL","01077","Lauderdale",4391.3
"Alabama","AL","01079","Lawrence",4391.35
"Alabama","AL","01081","Lee",4609.38
"Alabama","AL","01083","Limestone",4365.65
"Alabama","AL","01085","Lowndes",4582.14
"Alabama","AL","01087","Macon",4620.02
"Alabama","AL","01089","Madison",4352.18
"Alabama","AL","01091","Marengo",4494.9
"Alabama","AL","01093","Marion",4431.97
"Alabama","AL","01095","Marshall",4377.34
"Alabama","AL","01097","Mobile",4465.83
"Alabama","AL","01099","Monroe",4519.9
"Alabama","AL","01101","Montgomery",4610
"Alabama","AL","01103","Morgan",4379.85
"Alabama","AL","01105","Perry",4512.55
"Alabama","AL","01107","Pickens",4474.32
"Alabama","AL","01109","Pike",4625.72
"Alabama","AL","01111","Randolph",4538.57
"Alabama","AL","01113","Russell",4635.1
"Alabama","AL","01115","St. Clair",4454.14
"Alabama","AL","01117","Shelby",4491.95
"Alabama","AL","01119","Sumter",4482.2
"Alabama","AL","01121","Talladega",4502.65
"Alabama","AL","01123","Tallapoosa",4573.9
"Alabama","AL","01125","Tuscaloosa",4471.3
"Alabama","AL","01127","Walker",4438.78
"Alabama","AL","01129","Washington",4470.23
"Alabama","AL","01131","Wilcox",4528.82
"Alabama","AL","01133","Winston",4410.96
"Arizona","AZ","04001","Apache",5329.04
"Arizona","AZ","04003","Cochise",5675.35
"Arizona","AZ","04005","Coconino",5164.28
"Arizona","AZ","04007","Gila",5510.16
"Arizona","AZ","04009","Graham",5629.97
