County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone	 not Hispanic or Latino"
Abbeville County,SC,22.4,19.8,4.7,0.3,0.4,27.6,1.6,0,1.4,70.2,68.9
Acadia Parish,LA,15.8,25.8,6.9,0.4,0.3,18,2.8,0,1.6,79.7,77.3
Accomack County,VA,24.6,20.7,5.6,0.7,0.8,28.8,9.1,0.2,1.7,67.8,59.9
Ada County,ID,14.9,23.2,5.6,0.8,2.7,1.4,8.5,0.2,3,91.9,84.3
Adair County,IA,23,21.8,5.6,0.3,0.5,0.6,2.5,0,1.2,97.4,95.1
Adair County,KY,19.2,19.9,5.2,0.3,0.4,2.9,2.2,0.1,1.5,94.8,93
Adair County,MO,15.1,17.9,5.2,0.4,2.6,3.4,2.6,0.1,2,91.5,89.4
Adair County,OK,15.8,27,7.4,46.1,0.8,0.6,7.1,0.1,10.3,42.1,39.4
Adams County,CO,10.7,26.1,6.9,2.3,4.5,4,40.8,0.2,3.2,85.7,49
Adams County,IA,23.7,20.9,5.3,0.5,0.7,0.5,1.4,0,0.8,97.4,96.1
Adams County,ID,29.9,17.3,3.9,1.4,0.9,0.4,3.6,0.4,2.6,94.3,91.6
Adams County,IL,20.7,22.6,6.3,0.3,0.9,3.9,1.8,0,2.1,92.8,91.4
Adams County,IN,15.9,31.4,9.3,0.3,0.4,0.6,4.5,0,0.9,97.8,93.6
Adams County,MS,19.6,19.9,5.7,0.5,0.6,53.4,10.1,0,1,44.4,35.5
Adams County,ND,28.5,19.3,5.3,0.7,2.8,0.9,1.6,0,1.8,93.7,92.2
Adams County,NE,18.9,23.4,6.4,1.3,1.3,1.3,11,0.1,1.3,94.7,85.1
Adams County,OH,18.5,23.8,6.1,0.6,0.4,0.5,1,0,1.5,97.1,96.2
Adams County,PA,21.1,19.8,4.9,0.4,0.9,2,7.3,0,1.5,95.1,88.7
Adams County,WA,11.3,35.9,9.6,6.2,1.4,2.2,64.7,0.1,1.7,88.5,32.5
Adams County,WI,30.2,14.1,3.4,1.2,0.6,2.9,4.2,0,1.4,93.8,90.3
Addison County,VT,20.7,16.5,4.2,0.3,1.8,1.3,2.3,0,2,94.5,92.6
Aiken County,SC,19.9,21.4,5.7,0.6,1.2,25.3,5.9,0.1,2.2,70.7,65.8
Aitkin County,MN,33.8,16.5,3.7,2.7,0.3,0.6,1.4,0,1.6,94.8,93.8
Alachua County,FL,14.6,17.9,5.1,0.4,6.2,20.6,10.5,0.1,2.9,69.9,60.6
Alamance County,NC,17.1,22,5.9,1.5,1.7,20.9,13.1,0.1,2.3,73.6,62.9
Alameda County,CA,14.3,20.3,5.7,1.1,32.3,11,22.3,0.9,5.4,49.3,30.6
Alamosa County,CO,13.9,24.2,6.3,5.5,1.7,1.8,47.6,0.3,3.2,87.5,47.1
Albany County,NY,17.4,18.3,5,0.3,6.8,14.1,6.3,0.1,2.9,75.8,71.6
Albany County,WY,12.2,16.1,4.5,1.1,3.9,2,9.7,0.1,2.6,90.3,81.9
Albemarle County,VA,19.3,19.7,5.2,0.4,5.5,9.7,5.8,0.1,2.6,81.8,76.9
Alcona County,MI,36.1,12.6,3,0.7,0.4,0.5,1.6,0.1,1.4,96.8,95.3
Alcorn County,MS,18.8,22.5,5.8,0.4,0.4,12.4,3.2,0,1.3,85.5,82.7
Aleutians East Borough,AK,10.5,7.6,2,20.2,43.4,10.2,14.8,1.2,3.9,21.1,9.1
Aleutians West Census Area,AK,7.4,11.4,3.3,12.1,40.1,7.1,14,2.5,4.3,33.9,23.6
Alexander County,IL,23.1,22.2,5.5,0.5,0.3,31.8,1.9,0.2,2.4,64.9,63.7
Alexander County,NC,20.4,19.9,5,0.5,1,5.9,4.8,0.1,1.7,90.8,86.7
Alexandria city,VA,11.3,18.2,7.1,0.2,5.9,21.8,16.7,0,5.3,62.2,51.9
Alfalfa County,OK,20.3,19.4,4.7,4.2,0.4,4.7,6,0.1,3.1,87.4,83.1
Alger County,MI,26.3,15,3.8,4.5,0.5,7.3,1.7,0,3.1,84.7,83.4
Allamakee County,IA,23.5,23.5,7,0.7,0.5,1.6,7.1,0.3,0.8,96.1,90
Allegan County,MI,17,23.8,6.1,0.7,0.9,1.6,7.5,0,1.9,94.9,88.1
Allegany County,MD,20.6,17.3,4.5,0.2,1.1,8.3,1.9,0.1,2.1,88.2,86.7
Allegany County,NY,19.6,20.1,5.3,0.3,1.3,1.4,1.7,0,1.4,95.6,94.3
Alleghany County,NC,28,17,4.6,0.5,0.8,1.8,9.9,0,1.4,95.4,86.7
Alleghany County,VA,25.5,18.3,4.4,0.3,0.3,4.7,1.6,0.1,1.9,92.8,91.4
Allegheny County,PA,19.3,18.6,5.2,0.2,4.2,13.4,2.3,0,2.3,79.9,78.1
Allen County,IN,14.9,25.6,7,0.5,4.6,12,7.7,0.1,3.2,79.6,73.1
Allen County,KS,21,22.2,5.5,1,1.2,2.2,3.8,0,3,92.5,89.5
Allen County,KY,18.1,23,6,0.3,0.3,1.3,2.4,0,1.4,96.7,94.6
Allen County,OH,18.1,23,6.1,0.3,0.8,12.5,3.3,0,3.1,83.2,80.6
Allen Parish,LA,15.2,22.4,6.2,2.3,0.6,22.7,2.3,0,1.9,72.4,70.9
Allendale County,SC,20.9,19,4.9,0.4,0.9,72.8,3.7,0.1,0.9,24.9,22.3
