county,number_of_md,population_by_cty,"md_rate_per_100,000"
"Autauga County, AL",51,59095,86.3
"Baldwin County, AL",598,239294,249.9
"Barbour County, AL",11,24964,44.06
"Bibb County, AL",27,22477,120.12
"Blount County, AL",20,59041,33.87
"Bullock County, AL",5,10320,48.45
"Butler County, AL",20,18884,105.91
"Calhoun County, AL",221,115972,190.56
"Chambers County, AL",29,34541,83.96
"Cherokee County, AL",15,24996,60.01
"Chilton County, AL",24,45274,53.01
"Choctaw County, AL",5,12533,39.89
"Clarke County, AL",13,22760,57.12
"Clay County, AL",8,14190,56.38
"Cleburne County, AL",5,15103,33.11
"Coffee County, AL",68,54174,125.52
"Colbert County, AL",100,57474,173.99
"Conecuh County, AL",10,11328,88.28
"Coosa County, AL",1,10450,9.57
"Covington County, AL",48,37524,127.92
"Crenshaw County, AL",6,13083,45.86
"Cullman County, AL",115,89496,128.5
"Dale County, AL",41,49342,83.09
"Dallas County, AL",86,37619,228.61
"DeKalb County, AL",60,71813,83.55
"Elmore County, AL",43,89304,48.15
"Escambia County, AL",34,36699,92.65
"Etowah County, AL",241,103162,233.61
"Fayette County, AL",32,16148,198.17
"Franklin County, AL",28,32013,87.46
"Geneva County, AL",12,26701,44.94
"Greene County, AL",8,7629,104.86
"Hale County, AL",10,14754,67.78
"Henry County, AL",7,17459,40.09
"Houston County, AL",428,107458,398.3
"Jackson County, AL",58,52773,109.9
"Jefferson County, AL",5063,667820,758.14
"Lamar County, AL",3,13689,21.92
"Lauderdale County, AL",207,94043,220.11
"Lawrence County, AL",10,33090,30.22
"Lee County, AL",263,177218,148.4
"Limestone County, AL",104,107517,96.73
"Lowndes County, AL",1,9965,10.04
"Macon County, AL",20,18895,105.85
"Madison County, AL",1277,395211,323.12
"Marengo County, AL",16,18996,84.23
"Marion County, AL",9,29246,30.77
"Marshall County, AL",124,98228,126.24
"Mobile County, AL",1525,413073,369.18
"Monroe County, AL",18,19648,91.61
"Montgomery County, AL",769,227434,338.12
"Morgan County, AL",187,123668,151.21
"Perry County, AL",4,8355,47.88
"Pickens County, AL",10,18801,53.19
"Pike County, AL",31,32991,93.97
"Randolph County, AL",9,21989,40.93
"Russell County, AL",32,58722,54.49
"Shelby County, AL",702,226902,309.38
"St. Clair County, AL",35,92748,37.74
"Sumter County, AL",8,12164,65.77
"Talladega County, AL",65,81524,79.73
"Tallapoosa County, AL",70,41023,170.64
"Tuscaloosa County, AL",596,227007,262.55
"Walker County, AL",90,64818,138.85
"Washington County, AL",5,15147,33.01
"Wilcox County, AL",2,10446,19.15
"Winston County, AL",15,23652,63.42
"Aleutians East Borough, AK",0,3398,0
"Aleutians West Census Area, AK",2,5059,39.53
"Anchorage Borough, AK",1396,288121,484.52
"Bethel Census Area, AK",19,18557,102.39
"Bristol Bay Borough, AK",0,838,0
"Chugach Census Area, AK",11,6941,158.48
"Copper River Census Area, AK",2,2630,76.05
"Denali Borough, AK",1,1593,62.77
"Dillingham Census Area, AK",11,4772,230.51
"Fairbanks North Star Borough, AK",247,95593,258.39
"Haines Borough, AK",10,2071,482.86
"Hoonah-Angoon Census Area, AK",0,2332,0
"Juneau Borough, AK",104,31973,325.27
"Kenai Peninsula Borough, AK",121,59767,202.45
"Ketchikan Gateway Borough, AK",47,13754,341.72
"Kodiak Island Borough, AK",27,12787,211.15
"Kusilvak Census Area, AK",0,8360,0
"Lake and Peninsula Borough, AK",0,1416,0
"Matanuska-Susitna Borough, AK",142,110686,128.29
"Nome Census Area, AK",12,9865,121.64
"North Slope Borough, AK",6,10972,54.68
"Northwest Arctic Borough, AK",7,7560,92.59
"Petersburg Borough, AK",4,3356,119.19
