county,county_md,state_md,number_of_md,population_by_cty,"md_rate_per_100,000"
"Autauga County, AL",Autauga,AL,51,59095,86.3
"Baldwin County, AL",Baldwin,AL,598,239294,249.9
"Barbour County, AL",Barbour,AL,11,24964,44.06
"Bibb County, AL",Bibb,AL,27,22477,120.12
"Blount County, AL",Blount,AL,20,59041,33.87
"Bullock County, AL",Bullock,AL,5,10320,48.45
"Butler County, AL",Butler,AL,20,18884,105.91
"Calhoun County, AL",Calhoun,AL,221,115972,190.56
"Chambers County, AL",Chambers,AL,29,34541,83.96
"Cherokee County, AL",Cherokee,AL,15,24996,60.01
"Chilton County, AL",Chilton,AL,24,45274,53.01
"Choctaw County, AL",Choctaw,AL,5,12533,39.89
"Clarke County, AL",Clarke,AL,13,22760,57.12
"Clay County, AL",Clay,AL,8,14190,56.38
"Cleburne County, AL",Cleburne,AL,5,15103,33.11
"Coffee County, AL",Coffee,AL,68,54174,125.52
"Colbert County, AL",Colbert,AL,100,57474,173.99
"Conecuh County, AL",Conecuh,AL,10,11328,88.28
"Coosa County, AL",Coosa,AL,1,10450,9.57
"Covington County, AL",Covington,AL,48,37524,127.92
"Crenshaw County, AL",Crenshaw,AL,6,13083,45.86
"Cullman County, AL",Cullman,AL,115,89496,128.5
"Dale County, AL",Dale,AL,41,49342,83.09
"Dallas County, AL",Dallas,AL,86,37619,228.61
"DeKalb County, AL",DeKalb,AL,60,71813,83.55
"Elmore County, AL",Elmore,AL,43,89304,48.15
"Escambia County, AL",Escambia,AL,34,36699,92.65
"Etowah County, AL",Etowah,AL,241,103162,233.61
"Fayette County, AL",Fayette,AL,32,16148,198.17
"Franklin County, AL",Franklin,AL,28,32013,87.46
"Geneva County, AL",Geneva,AL,12,26701,44.94
"Greene County, AL",Greene,AL,8,7629,104.86
"Hale County, AL",Hale,AL,10,14754,67.78
"Henry County, AL",Henry,AL,7,17459,40.09
"Houston County, AL",Houston,AL,428,107458,398.3
"Jackson County, AL",Jackson,AL,58,52773,109.9
"Jefferson County, AL",Jefferson,AL,5063,667820,758.14
"Lamar County, AL",Lamar,AL,3,13689,21.92
"Lauderdale County, AL",Lauderdale,AL,207,94043,220.11
"Lawrence County, AL",Lawrence,AL,10,33090,30.22
"Lee County, AL",Lee,AL,263,177218,148.4
"Limestone County, AL",Limestone,AL,104,107517,96.73
"Lowndes County, AL",Lowndes,AL,1,9965,10.04
"Macon County, AL",Macon,AL,20,18895,105.85
"Madison County, AL",Madison,AL,1277,395211,323.12
"Marengo County, AL",Marengo,AL,16,18996,84.23
"Marion County, AL",Marion,AL,9,29246,30.77
"Marshall County, AL",Marshall,AL,124,98228,126.24
"Mobile County, AL",Mobile,AL,1525,413073,369.18
"Monroe County, AL",Monroe,AL,18,19648,91.61
"Montgomery County, AL",Montgomery,AL,769,227434,338.12
"Morgan County, AL",Morgan,AL,187,123668,151.21
"Perry County, AL",Perry,AL,4,8355,47.88
"Pickens County, AL",Pickens,AL,10,18801,53.19
"Pike County, AL",Pike,AL,31,32991,93.97
"Randolph County, AL",Randolph,AL,9,21989,40.93
"Russell County, AL",Russell,AL,32,58722,54.49
"Shelby County, AL",Shelby,AL,702,226902,309.38
"St. Clair County, AL",St. Clair,AL,35,92748,37.74
"Sumter County, AL",Sumter,AL,8,12164,65.77
"Talladega County, AL",Talladega,AL,65,81524,79.73
"Tallapoosa County, AL",Tallapoosa,AL,70,41023,170.64
"Tuscaloosa County, AL",Tuscaloosa,AL,596,227007,262.55
"Walker County, AL",Walker,AL,90,64818,138.85
"Washington County, AL",Washington,AL,5,15147,33.01
"Wilcox County, AL",Wilcox,AL,2,10446,19.15
"Winston County, AL",Winston,AL,15,23652,63.42
"Aleutians East Borough, AK",Aleutians East,AK,0,3398,0
"Aleutians West Census Area, AK",Aleutians West,AK,2,5059,39.53
"Anchorage Borough, AK",Anchorage,AK,1396,288121,484.52
"Bethel Census Area, AK",Bethel,AK,19,18557,102.39
"Bristol Bay Borough, AK",Bristol Bay,AK,0,838,0
"Chugach Census Area, AK",Chugach,AK,11,6941,158.48
"Copper River Census Area, AK",Copper River,AK,2,2630,76.05
"Denali Borough, AK",Denali,AK,1,1593,62.77
"Dillingham Census Area, AK",Dillingham,AK,11,4772,230.51
"Fairbanks North Star Borough, AK",Fairbanks North Star,AK,247,95593,258.39
"Haines Borough, AK",Haines,AK,10,2071,482.86
"Hoonah-Angoon Census Area, AK",Hoonah-Angoon,AK,0,2332,0
"Juneau Borough, AK",Juneau,AK,104,31973,325.27
"Kenai Peninsula Borough, AK",Kenai Peninsula,AK,121,59767,202.45
"Ketchikan Gateway Borough, AK",Ketchikan Gateway,AK,47,13754,341.72
"Kodiak Island Borough, AK",Kodiak Island,AK,27,12787,211.15
"Kusilvak Census Area, AK",Kusilvak,AK,0,8360,0
"Lake and Peninsula Borough, AK",Lake and Peninsula,AK,0,1416,0
"Matanuska-Susitna Borough, AK",Matanuska-Susitna,AK,142,110686,128.29
"Nome Census Area, AK",Nome,AK,12,9865,121.64
"North Slope Borough, AK",North Slope,AK,6,10972,54.68
"Northwest Arctic Borough, AK",Northwest Arctic,AK,7,7560,92.59
"Petersburg Borough, AK",Petersburg,AK,4,3356,119.19
"Prince of Wales-Hyder Census Area, AK",Prince of Wales-Hyder,AK,10,5729,174.55
"Sitka Borough, AK",Sitka,AK,41,8407,487.69
"Skagway Municipality, AK",Skagway,AK,0,1132,0
"Southeast Fairbanks Census Area, AK",Southeast Fairbanks,AK,5,6970,71.74
"Wrangell City and Borough, AK",Wrangell,AK,4,2055,194.65
"Yakutat Borough, AK",Yakutat,AK,0,704,0
"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk,AK,0,5275,0
"Apache County, AZ",Apache,AZ,68,65623,103.62
"Cochise County, AZ",Cochise,AZ,166,126050,131.69
"Coconino County, AZ",Coconino,AZ,463,145052,319.2
"Gila County, AZ",Gila,AZ,77,53589,143.69
"Graham County, AZ",Graham,AZ,23,39050,58.9
"Greenlee County, AZ",Greenlee,AZ,8,9404,85.07
"La Paz County, AZ",La Paz,AZ,17,16408,103.61
"Maricopa County, AZ",Maricopa,AZ,14146,4496588,314.59
"Mohave County, AZ",Mohave,AZ,355,217692,163.07
